sym_idx,demod_I,demod_Q,locked
943,-643,1929,1
944,-654,596,1
945,637,-785,1
946,686,-631,1
947,1943,643,1
948,599,-636,1
949,-1985,628,1
950,1827,-1585,1
951,630,-739,1
952,-618,-1953,1
953,-1859,627,1
954,-651,-1939,1
955,-706,-1897,1
956,-601,-2036,1
957,1632,1777,1
958,-610,-568,1
959,-695,633,1
960,1935,-735,1
961,1657,1810,1
962,-1650,-1830,1
963,-1952,-631,1
964,-666,-1970,1
965,2007,-597,1
966,1951,652,1
967,-629,-2017,1
968,-721,-706,1
969,-1670,-1902,1
970,658,701,1
971,712,1925,1
972,-612,637,1
973,629,-1854,1
974,1995,-603,1
975,663,1884,1
976,-594,1973,1
977,-1931,652,1
978,606,-655,1
979,703,1878,1
980,1762,1816,1
981,-651,-1930,1
982,-1886,754,1
983,-1789,-1885,1
984,-1935,-674,1
985,-584,-1903,1
986,-580,-1958,1
987,-616,-1859,1
988,-551,1951,1
989,-638,-625,1
990,-1912,642,1
991,1904,-617,1
992,1920,-658,1
993,-1849,-682,1
994,1989,-1861,1
995,-688,-1921,1
996,-1994,-630,1
997,-672,659,1
998,-703,-1853,1
999,-1830,1913,1
1000,-1907,-1959,1
1001,553,-660,1
1002,623,656,1
1003,688,1983,1
1004,-1881,-1978,1
1005,-605,668,1
1006,-668,1882,1
1007,-693,-1933,1
1008,-638,690,1
1009,578,-645,1
1010,585,-680,1
1011,-594,696,1
1012,657,-655,1
1013,-607,650,1
1014,1894,-1992,1
1015,653,1893,1
1016,-629,-674,1
1017,1960,1968,1
1018,-602,-1925,1
1019,734,-1987,1
1020,1991,-1943,1
1021,2019,1894,1
1022,-1920,2001,1
1023,-771,642,1
1024,1890,628,1
1025,1988,496,1
1026,1900,-679,1
1027,734,-715,1
1028,1943,1903,1
1029,-1950,-744,1
1030,1917,-730,1
1031,-1924,-1910,1
1032,-715,-604,1
1033,-2004,618,1
1034,-1907,1949,1
1035,-607,694,1
1036,-1945,587,1
1037,-698,-1925,1
1038,-645,1977,1
1039,742,715,1
1040,1805,2014,1
1041,-1958,578,1
1042,-700,640,1
1043,-1989,577,1
1044,-1901,612,1
1045,663,554,1
1046,539,-751,1
1047,1931,1780,1
1048,-1789,1885,1
1049,1905,-594,1
1050,1790,-1883,1
1051,1913,-647,1
1052,-1949,728,1
1053,653,1952,1
1054,-1968,610,1
1055,-2039,-626,1
1056,-611,-632,1
1057,702,-624,1
1058,632,704,1
1059,-1921,-1706,1
1060,-1928,618,1
1061,-670,-728,1
1062,666,-1851,1
1063,-698,659,1
1064,661,1947,1
1065,726,-605,1
